=== CRUD Summary - 2026_03 ===

Table          | CREATE | UPDATE | DELETE | ERROR
---------------|--------|--------|--------|-------
cash_drawer_transactions |      0 |      0 |      1 |     0
cash_drawers   |      0 |      0 |      1 |     0
exchange_items |      0 |      0 |      1 |     0
inventory      |      0 |      0 |      1 |     0
invoice_items  |      0 |      0 |      1 |     0
invoice_payments |      0 |      0 |      1 |     0
invoices_incoming |      0 |      0 |      1 |     0
invoices_outgoing |      0 |      0 |      1 |     0
item_exchanges |      0 |      0 |      1 |     0
purchase_order_items |      0 |      0 |      1 |     0
purchase_orders |      0 |      0 |      1 |     0
purchase_return_items |      0 |      0 |      1 |     0
purchase_returns |      0 |      0 |      1 |     0
sale_items     |      0 |      0 |      1 |     0
sale_payments  |      0 |      0 |      1 |     0
sales          |      0 |      0 |      1 |     0
sales_return_items |      0 |      0 |      1 |     0
sales_returns  |      0 |      0 |      1 |     0
stock_movements |      0 |      0 |      1 |     0
stock_opname_items |      0 |      0 |      1 |     0
stock_opnames  |      0 |      0 |      1 |     0
stock_transfer_items |      0 |      0 |      1 |     0
stock_transfers |      0 |      0 |      1 |     0
test_data_transaction |      0 |      0 |      1 |     0
---------------|--------|--------|--------|-------
TOTAL          |      0 |      0 |     24 |     0
