[2026-03-04 10:22:19] [INFO] [CREATE] [units] user_id=13833441-f26e-4197-b73f-5d4dbd4a7c49 company_id=00000000-0000-0000-0000-000000000001 record_id=-
[2026-03-04 13:15:48] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"76659008-74e3-4d85-a21c-badbbc9cf298","code":"UBBMT6S","name":"Test Unit BBMT6S","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:15:48.1593898Z"}
[2026-03-04 13:15:51] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"ce2f1b20-d06b-4ece-b9f7-477e03332653","code":"UIRZNJU","name":"Test Unit IRZNJU","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:15:51.4223531Z"}
[2026-03-04 13:15:59] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"07e2525c-cf72-43dd-9eab-80dd79332345","code":"UJ4GIKC","name":"Test Unit J4GIKC","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:15:59.2099541Z"}
[2026-03-04 13:15:59] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"466f4189-248e-443d-bb2f-5e52bff77b75","code":"UABYDLS","name":"Test Unit ABYDLS","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:15:59.9851258Z"}
[2026-03-04 13:16:00] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"b50900db-ea95-4855-8d61-bf448383a174","code":"UYEEXLR","name":"Test Unit YEEXLR","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:16:00.6681744Z"}
[2026-03-04 13:16:01] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"1fc4f8c4-e73c-4f21-b47f-821b203a643e","code":"UM34YE7","name":"Test Unit M34YE7","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:16:01.3149865Z"}
[2026-03-04 13:16:01] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"d97204f3-4523-4f40-85ac-4d0fb0295368","code":"UBYPRSQ","name":"Test Unit BYPRSQ","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:16:01.9168855Z"}
[2026-03-04 13:16:02] [INFO] [CREATE] [units] user_id=- company_id=- new={"id":"5139d946-446e-4966-80fa-15fb6f90f0dd","code":"UCDD6QK","name":"Test Unit CDD6QK","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:16:02.5348416Z"}
[2026-03-04 13:20:14] [INFO] [CREATE] [units] user_id=13833441-f26e-4197-b73f-5d4dbd4a7c49 company_id=00000000-0000-0000-0000-000000000001 new={"id":"feda9c9b-8790-4d91-8550-18eda4ebd1f0","code":"UO1LFFW","name":"Test Unit O1LFFW","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:20:14.7506472Z"}
[2026-03-04 13:20:15] [INFO] [CREATE] [units] user_id=13833441-f26e-4197-b73f-5d4dbd4a7c49 company_id=00000000-0000-0000-0000-000000000001 new={"id":"38332904-5ab6-4f71-b217-a66002c40902","code":"URPYRPN","name":"Test Unit RPYRPN","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:20:15.2790368Z"}
[2026-03-04 13:20:15] [INFO] [CREATE] [units] user_id=13833441-f26e-4197-b73f-5d4dbd4a7c49 company_id=00000000-0000-0000-0000-000000000001 new={"id":"1533583d-c863-4493-9762-d2bc5bc09095","code":"URFEYKO","name":"Test Unit RFEYKO","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T06:20:15.87443Z"}
[2026-03-04 13:20:49] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=00000000-0000-0000-0000-000000000001 record_id=b50900db-ea95-4855-8d61-bf448383a174 old={"id":"b50900db-ea95-4855-8d61-bf448383a174","code":"UYEEXLR","name":"Test Unit YEEXLR","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T13:16:00.668174+07:00"}
[2026-03-04 13:20:53] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=00000000-0000-0000-0000-000000000001 record_id=1533583d-c863-4493-9762-d2bc5bc09095 old={"id":"1533583d-c863-4493-9762-d2bc5bc09095","code":"URFEYKO","name":"Test Unit RFEYKO","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T13:20:15.87443+07:00"}
[2026-03-04 13:20:56] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=00000000-0000-0000-0000-000000000001 record_id=38332904-5ab6-4f71-b217-a66002c40902 old={"id":"38332904-5ab6-4f71-b217-a66002c40902","code":"URPYRPN","name":"Test Unit RPYRPN","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T13:20:15.279036+07:00"}
[2026-03-04 13:21:55] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=00000000-0000-0000-0000-000000000001 record_id=1fc4f8c4-e73c-4f21-b47f-821b203a643e old={"id":"1fc4f8c4-e73c-4f21-b47f-821b203a643e","code":"UM34YE7","name":"Test Unit M34YE7","description":"Test unit created via automated test","is_active":true,"created_at":"2026-03-04T13:16:01.314986+07:00"}
[2026-03-10 12:13:39] [INFO] [CREATE] [units] user_id=f5ca5c15-d1ae-40a4-aa4a-2ff78540cf3e company_id=c6cfb8c3-fe1e-45e2-a785-d27d1518c56d new={"id":"6beb083e-f892-4b69-b7b0-dc6be61ab65b","code":"pc","name":"Piece","description":"satuan product","is_active":true,"created_at":"2026-03-10T05:13:39.288064Z"}
[2026-03-10 12:18:45] [INFO] [CREATE] [units] user_id=f5ca5c15-d1ae-40a4-aa4a-2ff78540cf3e company_id=c6cfb8c3-fe1e-45e2-a785-d27d1518c56d new={"id":"937e180b-a935-46eb-98c5-fabe06107db3","code":"sad","name":"sadsa","description":"sadsad","is_active":true,"created_at":"2026-03-10T05:18:45.3720889Z"}
[2026-03-10 12:19:08] [INFO] [CREATE] [units] user_id=f5ca5c15-d1ae-40a4-aa4a-2ff78540cf3e company_id=c6cfb8c3-fe1e-45e2-a785-d27d1518c56d new={"id":"1f395932-01aa-4639-968c-1b5b905a357f","code":"dsf","name":"sdfsd","description":"fsdfsdf","is_active":true,"company_id":"c6cfb8c3-fe1e-45e2-a785-d27d1518c56d","created_at":"2026-03-10T05:19:08.0893848Z"}
[2026-03-10 20:39:50] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=ad35a76d-0829-4beb-9f13-c0197bdda569 old={"id":"ad35a76d-0829-4beb-9f13-c0197bdda569","code":"U010CIS","name":"Test Unit 010CIS","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T08:39:41.154695+07:00"}
[2026-03-10 20:39:52] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=4a4668aa-b94d-4338-a996-98798eb96828 old={"id":"4a4668aa-b94d-4338-a996-98798eb96828","code":"U5ZA7CT","name":"Test Unit 5ZA7CT","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T08:39:42.70251+07:00"}
[2026-03-10 20:39:54] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=eb7e9dbb-92df-464a-9be0-ef0c5de78668 old={"id":"eb7e9dbb-92df-464a-9be0-ef0c5de78668","code":"U8UR9GR","name":"Test Unit 8UR9GR","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T08:39:37.388012+07:00"}
[2026-03-10 20:39:55] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=466f4189-248e-443d-bb2f-5e52bff77b75 old={"id":"466f4189-248e-443d-bb2f-5e52bff77b75","code":"UABYDLS","name":"Test Unit ABYDLS","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T13:15:59.985125+07:00"}
[2026-03-10 20:39:57] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=c77f5b7e-e163-4b20-8588-6fec61b4fb36 old={"id":"c77f5b7e-e163-4b20-8588-6fec61b4fb36","code":"UB1I5S8","name":"Test Unit B1I5S8","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T08:39:39.45173+07:00"}
[2026-03-10 20:40:00] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=f9ec951d-c349-4258-b2b3-a1391c8b79ba old={"id":"f9ec951d-c349-4258-b2b3-a1391c8b79ba","code":"UB67NUY","name":"Test Unit B67NUY","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T08:44:53.311508+07:00"}
[2026-03-10 20:40:02] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=76659008-74e3-4d85-a21c-badbbc9cf298 old={"id":"76659008-74e3-4d85-a21c-badbbc9cf298","code":"UBBMT6S","name":"Test Unit BBMT6S","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T13:15:48.159389+07:00"}
[2026-03-10 20:40:04] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=d97204f3-4523-4f40-85ac-4d0fb0295368 old={"id":"d97204f3-4523-4f40-85ac-4d0fb0295368","code":"UBYPRSQ","name":"Test Unit BYPRSQ","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T13:16:01.916885+07:00"}
[2026-03-10 20:40:21] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=e8797eb7-8934-4029-94cc-77941a87f5d3 old={"id":"e8797eb7-8934-4029-94cc-77941a87f5d3","code":"UHH969E","name":"Test Unit HH969E","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T08:44:51.665838+07:00"}
[2026-03-10 20:40:23] [INFO] [DELETE] [units] user_id=583e3b50-e159-43bf-bd8d-e91b79975a0a company_id=7229a30d-bb06-4e01-80d3-4162cabf93d9 record_id=ce2f1b20-d06b-4ece-b9f7-477e03332653 old={"id":"ce2f1b20-d06b-4ece-b9f7-477e03332653","code":"UIRZNJU","name":"Test Unit IRZNJU","description":"Test unit created via automated test","is_active":true,"company_id":"7229a30d-bb06-4e01-80d3-4162cabf93d9","created_at":"2026-03-04T13:15:51.422353+07:00"}
